hit is	it is
and him on ableow gast	and blew spirit into him
and hine gelíffæste	and animated him
and he wearð þa mann gesceapen on sawle and on lichaman	and he became a man formed with soul and body
God him sette naman Adám	God named him Adam
he wæs þa sume hwile ánstandende	he was for some time standing alone
God þa hine gebrohte on neorxna wange	God then brought him into Paradise
and hine þær gelogode	and established him there
and him to cwæð	and said unto him
þu most brucan	you may eat
Ealra þæra þinga þe on neorxna wange sindon	Of all the things which are in Paradise thou mayest eat
and hí ealle beoð þe betæhte	and they shall all be committed to thee
buton anum treowe þe stent on middan neorxna wange	save one tree which stands in the middle of Paradise
ne hrepa þu þæs treowes wæstm	touch thou not the fruit of this tree
forþan ðe þu bist deadlic	for thou shalt be mortal
gif ðu þæs treowes wæstm geetst	if thou eatest the fruit of this tree
Hwí wolde God swa lytles þinges him forwyrnan	Why would God forbid him so little a thing
þe him swa miccle oðre þing betæhte	when he had committed to him other things so great
Gyse hu mihte Adám tocnawan hwæt hé wære	But how could Adam know what he was
buton hé wære gehyrsum on sumum þince his Hlaforde	unless he were obedient in some thing to his Lord
Swylce God ewǽde to him	as if God had said to him
Nast þu na þæt ic eom þin Hlaford	Thou knowest not that I am thy Lord
þu eart min þeowa	thou art my servant
þu do þæt ic þe háte	thou dost that which I command
and forgáng þæt ic þe forbeode	and forgoest that which I forbid thee
Hwæt mæg hit þonne beon þæt þu forgán sceole	But what may it be that thou shalt forgo
ic ðe secge	I say unto thee
forgang ðu anes treowes wæstm	forgo thou the fruit of one tree
mid þære eaðelican gehyrsumnysse þu geearnast heofenan rices myrhðu	with that easy obedience thou shalt merit the joys of heaven
þone stede þe se deofol of-afeoll þurh ungehyrsumnesse	the place from which the devil fell through disobedience
Gif ðu þonne ðis lytle bebód tobrecst	But if thou breakest this little commandment
þu scealt deaðe sweltan	thou shalt perish by death
And þa wæs Adam swa wís þæt God gelædde to him nytenu	And then was Adam so wise that God led to him the cattle
deorcynn	animal race
fugelcynn	bird race
ðaða he hí gesceapene hæfde	when he had created them
Adam him eallum naman gesceop	Adam made names for them all
and swa swa hé hí þa genamode swa hí sindon gyt gehatene	and so as he named them are they yet called
Þa cwæð God	Then said God
Nis na gedafenlic þæt þes man ana beo	It is not fitting that this man be alone
and næbbe nænne fultum	and have no help
ac uton gewyrcan him gemacan, him to fultume and to frofre	now let us make him a mate for help and comfort
And God þa geswefode þone Adam	And God then caused Adam to sleep
þaþa he slep	as he slept
ða genam he an rib of his sidan	he took a rib from his side
and	and
God	God
and geworhte of ðam ribbe ænne wifman	and of that rib wrought a woman
and axode Adam hu heo hatan sceolde	and asked Adam how she should be called
Þa cwæð Adam	Then said Adam
Heo is ban of minum banum	She is bone of my bone
and flæsc of minum flæsce	and flesh of my flesh
beo hire nama	be her name
þæt is fæmne	that is female
forðan ðe heo is of hire were genumen	because she is taken from her husband
Ða sette Adam eft hire oðerne naman, Aeua	Then Adam afterwards bestowed on her another name, Eve
þæt is lif	that is life
forðan ðe heo is ealra lybbendra modor	because she is the mother of all living
Ealle gesceafta	All creatures
heofonas and englas	heavens and angels
sunnan and monan	sun and moon
steorran and eorðan	stars and earth
ealle nytenu and fugelas	all beasts and birds
sǽ and ealle fixas	the sea and all fishes
and ealle gesceafta	and all creatures
God gesceop and geworhte on six dagum	God created and wrought in six days
and on ðam seofoðan dæge hé geendode his weorc	and on the seventh day he ended his work
and geswac ða and gehalgode þone seofoðan dæg	and ceased, and hallowed the seventh day
forðan ðe hé on ðam dæge his weorc geendode	because on that day he ended his work
And he beheold þa ealle his weorc ðe he geworhte	And he beheld then all his works that he had wrought
And he beheold þa ealle his weorc	And he beheld then all his works
hí wæron ealle swiðe gode	they were all exceedingly good
Ealle ðing he geworhte buton ælcum antimbre	All things he wrought without any matter
He cwæð	He said
Geweorðe leoht	Let there be light
ðærrihte wæs leoht geworden	and instantly there was light
He cwæð eft	He said again
Geweorðe heofen	Let there be heaven
þærrihte wæs heofen geworht	instantly heaven was made
swa swa he mid his wisdome and mid his willan hit gedihte	as he with his wisdom and his will had appointed it
and het ða eorðan þæt heo sceolde forðlædan cuce nytenu	and bade the earth bring forth all living cattle
hé ða gesceop of ðære eorðan eall nytencynn	he then created of earth all the race of cattle
and deorcynn	and animalkind
ealle ða ðe on feower fotum gað	all those which go on four feet
ealswa eft of wætere he gesceop fixas and fugelas	in like manner of water he created fishes and birds
and sealde ðam fixum sund	and gave the power of swimming to the fishes
and ðam fugelum fliht	and flight to the birds
he ne sealde nanum nytene ne nanum fisce nane sawle	he gave no soul to any beast, nor to any fish
heora blod is heora lif	their blood is their life
swa hraðe swa hi beoð deade	as soon as they are dead
beoð hí mid ealle geendode	they are totally ended
Þaða he worhte ðone mann Adám	When he had made the man Adam
he ne cwæð ná	he did not say
Geweorðe man geworht	Let man be made
ac he cwæð	but he said
Uton gewyrcan mannan to ure anlicnysse	Let us make man in our likeness
hé worhte ða þone man mid his handum	he then made man with his hands
and him on ableow sawle	and blew into him a soul
forði is se man betera	therefore is man better
gif hé góde geðihð	if he grow up in good
þonne ealle ða nytenu sindon	than all the beasts are
forðan ðe hí ealle gewurðað to nahte	because they will all come to naught
se man is ece on anum dæle	man is in one part eternal
þæt is	that is
þæt is on ðære sawle	that is in the soul
heo ne geendað næfre	that will never end
Se lichama is deadlic þurh Adames gylt	The body is mortal through Adam's sin
ac ðeah-hwæðere God arærð eft ðone lichaman to ecum ðingum on domes dæg	but, nevertheless, God will raise again the body to eternity on doomsday
Nu cwædon gedwolmen þæt deofol gesceope sume gesceafta	Now the heretics say that the devil created some creatures
hí leogað	they lie
ne mæg hé nane gesceafta gescyppan	he can create no creatures
forðan ðe he nis na Scyppend	for he is not a creator
ac is atelic sceocca	but is a loathsome fiend
mid leasunge he wile beswican and fordón þone unwaran	with lying he will deceive and fordo the unwary
he ne mæg nænne man to nanum leahtre geneadian	he may not compel any man to any crime
buton se mon his agenes willes to his lare gebuge	unless the man voluntarily incline to his teaching
Swa hwæt swa is on gesceaftum wiðerweardlic geþuht and mannum derige, þæt is eall for urum synnum and yfelum geearnungum.	Whatsoever among things created seems pernicious and is injurious to men, is all for our sins and evil deserts.
Þa ongeat se deofol þæt Adam and Eua wæron to ðy gesceapene	When the devil understood that Adam and Eve were created
hi sceolon mid eadmodnysse and mid gehyrsumnysse geearnian ða wununge on heofenan rice	they might with meekness and obedience merit the dwelling in the kingdom of heaven
ðe hé of-afeoll for his up-ahefednysse	from which he had fallen for his haughtiness
þa nam hé micelne graman and ándan to þam mannum	then he felt great anger and envy towards those persons
and smeade hú hé hí fordón mihte	and meditated how he might fordo them
He com ða on næddran hiwe to þam twam mannum	He came then in a serpent's form to the two persons
ærest to ðam wife	first to the woman
and hire to cwæð	and said to her
Hwí forbead God eow þæs treowes wæstm	Why has God forbidden you the fruit of this tree
ðe stent on middan neorxna wange	which stands in the middle of Paradise
Þa cwæð þæt wíf	Then said the woman
God us forbead þæs treowes wæstm	God forbade us the fruit of the tree
and cwæð þæt	and said, that
we sceoldon deaðe sweltan	we should perish by death
gif we his on byrigdon	if we tasted its fruit
Ða cwæð se deofol	Then said the devil
Nis hit na swa ðu segst	It is not as thou sayest
ac God wát genoh geare	but God knows full well
gif ge of ðam treowe geetað	if ye eat of that tree
þonne beoð eowere eagan geopenode	that your eyes will then be opened
ge magon geseon and tocnáwan ægðer ge gód ge yfel	ye can see and know both good and evil
ge beoð englum gelice	ye will be like to angels
Næron hí blinde gesceapene	They were not created blind
God hí gesceop swa bilewite þæt hí ne cuðon nan ðing yfeles	God created them so simple-minded that they knew nothing evil
naðor ne on gesihðe	neither by sight
ne on spræce	nor by speech
ne on weorce	nor by deed
Wearð þeah þæt wíf ða forspanen þurh ðæs deofles láre	But the woman was seduced by the devil's counsel
genam of ðæs treowes wæstme	took of the fruit of the tree
and geæt	and ate
and sealde hire were	and gave to her consort
and hé geæt	and he ate
Ða wæron hí butu deadlice	Then they both became mortal
and cuðon ægðer ge gód ge yfel	and knew both good and evil
hí wæron ða nacode	they were naked
and him ðæs sceamode	and thereat they were ashamed
Þa com God	Then came God
Þa com God and axode hwi he his bebod tobræce	Then came God and asked why he had broken his commandment
and adræfde hí butu of neorxna wange	and drove them both from Paradise
and cwæð	and said
ðe ðu wære gehyrsum ðines wifes wordum	thou wast obedient to the words of thy wife
Forðan	Because
and min bebod forsawe	and despisedst my commandment
þu scealt mid earfoðnyssum þe metes tilian	thou shalt get thee food with hardships
and seo eorðe	and the earth
and seo eorðe þe is awyriged on þinum weorce	and the earth, which is accursed through thy deed
seo eorðe sylð þe ðornas and bremblas	the earth shall give thee thorns and brambles
Þu eart of eorðan genumen	Thou art taken from earth
þu awenst to eorðan	thou shalt to earth return
Þu eart dust	Thou art dust
ðu awentst to duste	thou shalt turn to dust
God him worhte ða reaf of fellum	God then wrought for them garments of skins
hí wæron mid þam fellum gescrydde	they were clothed with the skins
Ða deadan fell getacnodon þæt hí wæron ða deadlice	The dead skins betokened that they were then mortal
þe mihton beon undeadlice	who might have been immortal
gif hi heoldon þæt eaðelice Godes bebod	if they had held that easy command of God
Ne þorfte Adam ne eal mancynn þe him siððan ofacom næfre deaðes onbyrian	Neither Adam nor all mankind that have since come from him needed ever to have tasted of death
gif þæt treow moste standan ungehrepod	if that tree could have stood untouched
his nan man ne onbyrigde	no one had tasted of it
ac sceolde Adam and his ofspring tyman on asettum tyman	but Adam and his offspring would have propagated at set times
swa swa nu doð clæne nytenu	as the clean beasts now do
and siððan ealle buton deaðe faran to ðan ecan life	and afterwards, without death, have gone to eternal life
Næs him gesceapen fram Gode	It was not ordained him from God
ne hé næs genedd þæt hé sceolde Godes bebod tobrecan	nor was he compelled to break God's commandment
God hine lét frigne	God left him free
ac	but
sealde him agenne cyre	gave him his own choice
swa hé wære gehyrsum	whether he would be obedient
swa hé wære ungehyrsum	whether he would be disobedient
Hé wearð þa deofle gehyrsum	Then was he to the devil obedient
and Gode ungehyrsum	and to God disobedient
and wearð betæht	and was delivered
hé and eal mancynn	he and all mankind
æfter ðisum lífe	after this life
into hellewíte	to helltorment
mid þam deofle ðe hine forlærde	with the devil who seduced him
Þa wiste God hwæðere	But God knew, however
þæt hé wæs forlæred	that he had been seduced
and smeade hu he mihte his and ealles mancynnes eft gemiltsian	and meditated how he might again be merciful to him and all mankind.
On twam þingum	With two things
On twam þingum hæfde God þæs mannes sawle gegodod	With two things had God endowed this man's soul
þæt is mid undeadlicnysse, and mid gesælðe	that is immortality and with happiness
Þa þurh deofles swicdom and Adames gylt	Then through the devil's treachery and Adam's guilt
we forluron þa gesælðe ure sawle	we lost the happiness of our soul
we ne forluron ná þa undeadlicnysse	we lost not the immortality
heo is éce	that is eternal
heo is éce, and næfre ne geendað	that is eternal and never ends
þeah se lichama geendige	though the body ends
þe sceal eft	which shall again
þurh Godes mihte	through God's might
arisan to ecere wununge	arise to everlasting duration
Adam þa wæs wunigende on þisum life mid geswince	Adam then was continuing in this life with toil
Adam þa wæs wunigende on þisum life	Adam then was continuing in this life
hé and his wíf ða bearn gestryndon	he and his wife begat children
ægðer ge suna ge dohtra	both sons and daughters
he leofode nigon hund geara and þrittig geara	he lived nine hundred and thirty years
and siððan swealt	and then died
swa swa him ær behaten wæs, for þan gylte	as had been promised him for that sin
swa swa him ær behaten wæs	as had been promised him
his sawul gewende to helle	his soul went to hell
Nu smeagiað sume men	Now some men will inquire
hwanon him come sawul	whence came his soul
hwæþer ðe of þam fæder, þe of þære meder	whether from the father or from the mother
We cweðað	We say
of heora naðrum	from neither of them
se ylca God þe gesceop Adam mid his handum	the same God who created Adam with his hands
he gescypð ælces mannes lichaman on his modor innoðe	he createth every man's body in his mother's womb
se ylca seðe ableów on Adámes lichaman	the same who blew into Adam's body
and him forgeaf sawle	and gave him a soul
se ylca forgyfð cildum sawle and líf on heora modor innoðe	that same giveth a soul and life to children in their mother's womb
þonne hí gesceapene beoð	when they are created
and he lætt hí habban agenne cyre	and he lets them have their own will
þonne hí geweaxene beoð	when they are grown up
swa swa Adám hæfde	as Adam had
Þa wearð þa hrædlice micel mennisc geweaxen	Then there was rapidly a great increase of people
wæron swiðe manega on yfel awende	very many were turned to evil
and gegremodon God mid mislicum leahtrum	 and exasperated God with various crimes
and swiðost mid forligere	and above all with fornication
Ða wearð God to þan swiðe gegremod þurh manna mándæda	Then was God so exasperated through the wicked deeds of men
þæt he cwæð	that he said
him ofþuhte þæt hé æfre mancynn gesceop	he repented that he had ever created mankind
Ða wæs hwæþere án man rihtwis ætforan Gode	Nevertheless, there was one man righteous before God
se wæs Nóe geháten	who was called Noah
Þa cwæð God to him	Then said God to him
Ic wylle fordón eal mancynn mid wætere	I will destroy all mankind with water
for heora synnum	for their sins
ac ic wylle gehealdan þe ænne	but I will preserve thee alone
and þin wíf	and thy wife
and þine þry suna	and thy three sons
heora þreo wíf	their three wives
forðan þe ðu eart rihtwis, and me gecweme	because thou art righteous and acceptable unto me
Wyrc þe nú ænne arc	Make thee now an ark
þreo hund fæðma lang	three hundred fathoms long
fiftig fæðma wíd	fifty fathoms wide
þritig fæðma heah	thirty fathoms high
gehref hit eall	roof it all
geclǽm ealle þa seamas mid tyrwan	smear all the seams with tar
gá inn syððan mid þinum híwum	then go in with thy family
Ic gegaderige in to þe of deorcynne, and of fugelcynne symble gemacan	I will gather in to thee of beastkind and of birdkind mates of each
þæt hí eft to fostre beon	that they may hereafter be for foster
Ic wille sendan flod ofer ealne middangeard	I will send a flood over all the earth
He dyde þa swa him God bebead	He did as God bade him
God beleac hí bynnan þam arce	God shut them within the ark
and asende rén of heofonum feowertig daga togædere	and sent rain from heaven forty days together
and geopenode þær togeanes ealle wyll-springas and wæter-þeotan of þære micclan niwelnysse	and opened, to meet it, all the well-springs and water-torrents of the great deep
Ðæt flod weox ða and abǽr up þone arc	The flood then waxed and bare up the ark
hit oferstah ealle dúna	it rose above all the hills
Wearð þa ælc þing cuces adrenct	Then was everything living drowned
buton þam ðe binnon þam arce wæron	save those who were within the ark
of þam wearð eft ge-edstaðelod eall middangeard	by whom was again established all the earth
Ða behét God þæt hé nolde næfre eft eal mancynn mid wætere acwellan	Then God promised that he would never again destroy all mankind with water
and cwæð to Noe and to his sunum	and said to Noah and to his sons
Ic wylle settan mín wedd betwux me and eow to þisum beháte	I will set my covenant betwixt me and you for this promise
þæt is	that is
þonne ic oferteo heofenas mid wólcnum	when I overspread the heavens with clouds
þonne bið æteowod min rénboga betwux þam wolcnum	then shall be shown my rainbow betwixt the clouds
þonne beo ic gemyndig mines weddes	then will I be mindful of my covenant
þæt ic nelle heonon-forð mancynn mid wætere adrencan	that I will not henceforth drown mankind with water
Noe leofode on eallum his life	Noah lived in all his life
ær þam flode and æfter þam flode	before the flood and after the flood
nigon hund geara and fiftig geara	nine hundred and fifty years
Noe leofode on eallum his life nigon hund geara and fiftig geara	Noah lived in all his life nine hundred and fifty years
he þa forðferde	then he departed
Ða wæs þa sume hwíle Godes ege on mancynne æfter þam flode	Then for some time after the flood there was fear of God among mankind
Ða wæs þa sume hwíle Godes ege on mancynne	Then for some time there was fear of God among mankind
Ða wæs þa sume hwíle Godes ege	Then for some time there was fear of God
Ða wæs þa sume hwíle Godes ege æfter þam flode	Then for some time after the flood there was fear of God 
wæs án gereord on him eallum	there was one language among them all
Ða cwædon hi betwux him	Then said they among themselves
hi woldon wyrcan ane burh	they would make a city
and ænne stypel binnon þære byrig	and a tower within that city
swa heahne þæt his hrof astige up to heofenum	so high that its roof should mount up to heaven
and begunnon þa to wyrcenne	and they begun to work
Ða com God þærto	Then came God thereto
þaða hí swiðost worhton	when they were most busily working
and sealde ælcum men þe ðær wæs synderlice spræce	and gave to every man who was there a separate speech
Se Godspellere Lucas awrát on ðisum dægðerlican godspelle	The Evangelist Luke wrote in this day's gospel
þæt ure Drihten wæs sprecende þisum wordum to his leorning-cnihtum	that our Lord was speaking in these words to his disciples
be ðam tácnum ðe ǽr þyssere worulde geendunge gelimpað.	about the signs which will happen before the ending of this world.
Drihten cwæð	The Lord said
Tácna gewurðað on sunnan	There shall be signs in the sun
and on mónan	and in the moon
and on steorrum	and in the stars
and on eorðan	and on earth
bið þeoda ofðryccednyss	there shall be affliction of nations
Se halga Gregorius us trahtnode þyses godspelles digelnysse	The holy Gregory has expounded for us the obscurity of this gospel
þus undergynnende	thus beginning
Drihten ure Alysend ús gewilnað gearwe gemetan	The Lord our Redeemer is desirous to find us ready
and forþi cydde ða yfelnyssa ðe folgiað þam ealdigendan middangearde	and therefore said the evils which follow the senescent world
þæt hé us fram his lufe gestilde	that he might wean us from its love
He geswutelode hú fela ðrowunga forestæppað þyssere worulde geendunge	He manifested how many sufferings will precede the ending of this world
gif we God on smyltnysse ondrædan nellað	if we will not dread God in serenity
þæt we huru his genealæcendan dóm, mid mislicum swinglum afǽrede, ondrædon	that at least, terrified with many tribulations, we may dread his approaching doom
Her wiðufan on þyssere rǽdinge cwæð se Hælend	Here above in this lesson Jesus said
Ðeod arist ongean ðeode	Nation shall arise against nation
and rice ongean rice	and kingdom against kingdom
and micele eorðstyrunga beoð gehwær	and great earthquakes shall be everywhere
and cwealm	and pestilence
and hunger	and hunger
And syððan betwux ðam þus cwæð	And afterwards among them thus said
for gemencgednysse sǽlicra yða and sweges	for the mingling of the sea-waves and sound
Sume ðas tácna we gesawon gefremmede	Some of these signs we have seen accomplished
sume we ondrædað us towearde	some we fear are to come
Witodlice on ðisum niwum dagum arison ðeoda ongean ðeoda	Verily in these new days nations have arisen against nations
and heora ofðriccednyss on eorðan gelámp swiðor þonne we on ealdum bocum rædað	and their affliction on earth has happened greater than we in old books read
Oft eorðstyrung gehwǽr fela burhga ofhreas	Oft an earthquake has overthrown many cities
swa swa gelámp on Tyberies dæge þæs caseres	as it happened in the days of the emperor Tiberius
ðreottyne byrig ðurh eorðstyrunge afeollon	thirteen cities fell through an earthquake
Mid cwealme and mid hungre we sind gelome geswencte	With pestilence and with hunger we are frequently afflicted
We rædað on tungelcræfte	We read in astronomy
þæt seo sunne bið hwiltidum	that the sun is sometimes darkened
þurh ðæs monelican trendles underscyte aðystrod	by the intervention of the lunar orb
and eac se fulla móna færlice fagettað	and also the full moon suddenly becomes dusky
þonne he ðæs sunlican leohtes bedæled	when it is deprived of the solar light
bið ðurh ðære eorðan sceadwunge	by the shadow of the earth
Sind eac sume steorran leoht-beamede	There are also some stars beamed with light
færlice arísende	suddenly rising
and hrædlice gewítende	and quickly departing
and hí symle sum ðing níwes mid heora upspringe gebícniað	and they by their uprise ever indicate something new
ne mænde Drihten ðas tácna on ðære godspellican witegunge	the Lord meant not these signs in the evangelical prophecy
ac ða egefullan tácna þe ðam micclan dæge forestæppað	but the awful signs which will precede the great day
Matheus se Godspellere awrát swutelicor þas tácna	Matthew the Evangelist wrote more plainly of these signs
þus cweðende	thus saying
Þærrihte æfter ðære micclan gedrefednysse	Straightaway after the great tribulation
bið seo sunne aðystrod	the sun shall be darkened
and se móna ne sylð nán leoht	and the moon shall give no light
steorran feallað of heofonum	the stars shall fall from heaven
heofonan mihta beoð astyrode	the powers of heaven shall be agitated
onne bið æteowed Cristes ródetácn on heofonum	then shall appear the sign of Christ's cross in the heavens
ealle eorðlice mægða heofiað	all earthly powers shall mourn
Ðære sǽ gemengednyssa and dæra yða sweg ungewunelice gyt ne asprungon	The minglings of the sea and the sound of the waves have not yet unusually happened
ac ðonne fela ðæra foresædra tácna gefyllede sind	but when many of the before-said signs have been fulfilled
nis nán twynung þæt þa feawa ðe þær to lafe sind witodlice gefyllede beón	there is no doubt that the few which are remaining will also be fulfilled.
Mine gebroðra	My brothers
þas ðing sind awritene	these things are written
ure mód þurh wærscipe wacole beon	our minds may be vigilant through heedfulness
þæt hi ðurh orsorhnysse ne asleacion	that through security they slacken not
ne ðurh nytennysse geadlion	nor through ignorance become void
þæt symle se óga hí gebysgige	that terror ever occupy
seo embhydignys on gódum weorcum getrymme	attention to good works confirm them
Drihten cwæð	The Lord said
Menn forseariað for ógan	Men shall wither for terror 
and andbidunge ðæra ðinga þe becumað ofer ealne middangeard	and for awaiting the things which shall come over all the world
Witodlice heofonan mihta beoð astyrode	for the powers of heaven shall be agitated
Heofonan mihta sind englas and heah-englas	The powers of heaven are angels and archangels
þrymsetl, ealdorscipas, hlafordscipas and anwealdu	thrones, principalities, lordships and powers
Þas engla werod beoð æteowde gesewenlice urum gesihðum on to-cyme ðæs strecan Déman	These hosts of angels will appear visible to our sights at the advent of the severe Judge
þæt hí stiðlice æt ús ofgan	that they may sternly exact from us
þæt þæt se ungesewenlica Scyppend emlice forberð	that which the invisible Creator patiently forbears
Þonne we geseoð mannes Bearn cumende on wolcnum	Then we shall see the Son of man coming in clouds
mid micelre mihte and mægenðrymme	with great might and majesty
Drihten gecígde hine sylfne mannes Bearn gelomlicor ðonne Godes Bearn	The Lord called himself the Son of man oftener than the Son of God
for eadmodnysse þære underfangenan menniscnysse	from the humility of his assumed humanity
þæt hé us mynegige mid þam gecynde þe he for ús underfeng	that he may admonish us with the nature which he for us received
He is soðlice mannes Bearn	He is truly Son of man
and ne manna Bearn	and not Son of men
and nis nán oðer anes mannes bearn buton Crist ána	and there is no other son of one man but Christ alone
He bið on mihte and on mægenðrymme geswutelod þam ðe hine on eadmodnysse wunigende gehyran noldon	He will be manifested in might and in majesty to those who would not obey him while existing in humility
þæt hí ðonne gefredon his mihte swa miccle stiðlicor	that they then may feel his might by so much the more severely
swa micclum swa hí nu heora swuran to his geðylde nellað gebigan	as they now will not bow their necks to his patience
Þas word sind gecwedene be ðam wiðercorenum	These words are said of the reprobates
her fyliað þa word ðe ða gecorenan frefriað	here follow the words which comfort the chosen
Se Hælend cwæð	Jesus said
Þonne ðas wundra ongynnað	When these wonders begin
ahebbað þonne eowre heafda and behealdað	then lift up your heads and behold
forðan ðe eower alysednyss genealæhð	for your redemption approacheth
Þa wæron þær swa fela gereord swa ðær manna wæron	Then were there as many languages as there were men
heora nán nyste hwæt oðer cwæð	none of them knew what other said
hí ða geswicon þære getimbrunge	they then ceased from the building
hí toferdon geond ealne middangeard.	they went divers ways over all the earth.
Þa on morgen gehyrdon þæt þæs cyninges þægnas þe him beæftan wæron þæt se cyning ofslægen wæs.	Then in the morning the king's thanes that were behind heard that the king was slain.
Ða ridon hie þyder ond his ealdorman osric ond wiferð his þegn ond þa men þe he him bæftan ær læfde	Then they rode thither, Osric his alderman, and Wiferth his thane, and the men that he had left behind
þone æþeling on þære byrig metton þær se cyning ofslægen læg	they met the prince at the town, where the king lay slain.
Her lædde beocca ealdorman Westsexna ælmessan and ælfredes cyninges to rome	This year Alderman Beocca conducted the almsgiving of the West-Saxons and of King Alfred to Rome
ælþelswið cwen, seo wæs ælfredes sweostor cyninges ond heo forðferde ond hire lic ligð æt pauian	Queen Ethelswith, who was King Alfred's sister, died and her body lies at Pavia
þyilcan geare æþered arcebiscop ond æþelwald ealdorman forðferdon on anum monðe	The same year also Ethered, Archbishop of Canterbury and Alderman Ethelwold, died in one month.
On þyssum geare næs nan færeld to rome butan twegen hleaperas ælfred cyning sende mid gewritum	This year there was not any journey to Rome, except that King Alfred sent two messengers with letters
Þu fæder ure ðe eart on heofonum	You, our father who are in heaven
Sy þin nama gehalgod	hallowed be thy name
Gecume þin rice	Thy kingdom come
Si þin willa swa on heaofonum ond eac on eorðan	Thy will be done on earth as it is in heaven
Syle us todæg urne dæghwomlican hlaf	Give us this day our daily bread
forgif us ure giltas	forgive us our sins
Swa swa we forgifað þam þe wið us agiltað	just as we forgive those who sin against us
ne læt þu na us on costnunge	lead us not into temptation
Ac alys us fram yfele	but deliver us from evil
Si hit swa	So shall it be
gif heo hwam licað	for whomever likes it
Is nu for ði Godes þeowum and mynstermannum georne to warnigenne	Now this is in order to earnestly warn god's servants and monks
seo haligelar onurum dagum ne acolige oððe ateorige	the holy teachings should not cool nor fade in our days
swa swa hit wæs gedon onangelcynne nu for anum feawum gearum	just as it happened amongst the English a few years ago
swa þæt nan englisc preost ne cuðe dyhtan oððe asmeagean ænne pistol onleden	when no English priest knew how to read or understand any letter in Latin
oð þæt dunstan arcebiscop and Athelwold biscop eft þa lare on munuc lyfum arærdon	until Dunstan the archbishop and Aethelwold the bishop again raised learning in monastic life
Ne cweðe ic na for ði	I do not at all say to you
ðeos boc mæge myclum to lare fremian	this book will much contribute to learning
ac heo bið swa þeah sum angyn to ægðrum gereorde	but it is nevertheless an attempt for both languages
Wiþ gesnote ond geposum	For mucus and colds
Wiþ ceolan swile	For swelling of the throat
gif hio sie grene ne do þu þær wæter	if it is green, do not put water into it
to wring þonne on þæm neb	then squeeze it into the nose
genim oxna lyb niþeweard	take the netherward part of oxna lyb
gecnuwa wel wið wætre	pound it well with water
Wiþ sarum weolorum	For sore lips
Wiþ wouum muþe	For a rough mouth
gesmire mid hunige þa weoloras	smear the lips with honey
genim þonne æges felman	then take the membrane of an egg
bescead mid pipore	sprinkle with pepper
lege on	lay it on
genim ompran ond ealdne swines	take dock and old fat of a pig
rysle wyrc to sealfe	make into a salve
sete on þone won dæl	  set on the rough part
sup þonne ond gebeþe mid	sip and bathe with it
on ealað	in ale.
aterlaþe niðewearde	the lower part of nightshade
on meolce	in milk
wyl	boil
Ne flit ðu wið anwilne monn	Do not argue against a one-willed person
ne wið oferspræcne	nor against an overtalkative person
he seo gescead wis	he is discreet
God gesceop us twa eagan ond twa earan, twa nosðyrlu, twegen weleras, twa handa ond twegen fet	God shaped us with two eyes and two ears, two nostrils, two lips, two hands and two feet
he nele his gewrit gerihtan	he does not want to correct his writing
Sum geþungen lareow wæs on Englalande	A certain excellent teacher was in England
Se lærde manega þæs Engliscan mennisces on boclicum cræfte	He taught many of the English people in biblical knowledge
he wolde eac habban twa gecyðnyssa on ðissere worulde gesett	he wanted also to have two testaments established in this world
Ic cweðe nu	I say now
ic ne dearr	I dare not
ða ealdan ond ða niwan	the old and the new
we ne magon gebigean his gesetnyssa on urum lustum	we may not turn his laws to our desires
Sigewulf hine befran æt fruman þysum wordum	First, Sigewulf interrogated him with these words
Micel yfel deð se unwritere	The bad scribe does much evil
hit bið ðonne his pleoh na min	it is then his peril, not mine
Wite ðæs maran ðanc ðe ðu hæbbe ðonne ðæs þe ðe monn gehate	Feel more thankful of that which you have than that which men promise you
forðanþe ic nah geweald	because I have no control
him swa sendan mid heora swutelungum	send him answers with the explanations
he deð swa swa hine sylfne gewyrð	he does just as he himself wants
forðanðe	because
he nænne rædboran næfð	he has no advisor
ne nan man ne ðearf him cweðan to	nor any person need to say to him
Hwi dest ðu swa	Why do you do it so
swiðe feawum	very few
Manegum menn is forgifen ðæt he spræcan mæg	Many men are given the ability that he may speak
ne hopa þu to swiðe to ðam þe mon gehate	nor hope too much for that which a man promises
Ðær lytel gehaten bið þær bið lytel alogen	Where little is promised, there is little lying
Þa on sumne timan	Then after some time
We sceolon awendan urne willan to his gesetnyssum	We must turn our wills to his laws
æfter þisse	after this
ne ic nelle nane boc  of Ledene on Englisc awendan	nor do I want, to translate any book  from Latin into English
ic bidde þe	I bid you
leof ealdorman	dear ealdorman
God ðe sy milde on ecnysse	May God be merciful to you in perpetuity
Ic bidde nu on Godes naman	I ask now, in God's name
swa swa he wel cuþe	as he was well able to
hæfde micele geþingða	had great dignity
he wolde his axunga eallunga gegaderian	he was willing to gather all his questions
þu me þæs na leng ne bidde	you no longer ask this
ði læs ðe ic beo ðe ungehyrsum	lest I might be disobedient to you
oððe leas gyf ic do	or false if I do
gyf hwa ðas boc awritan wille	if anyone wants to copy this book
he hi gerihte wel be ðære bysne	he corrects it well by the exemplar
ðe hi hwa to woge gebringe ðurh lease writeras	someone brings it to error through lesser scribes
ofer sæ	over the sea
ferde siþþan	went afterwards
to þam snoteran cyninge	to the wise king
se hæfde micelne cræft	who had great power
